variant,paths_on,od_set,edge_cost,S_effective,L_base,L_sl,L_change_pct,E_base,E_sl,E_change_pct,share_improved,delta_mean,delta_median
"Main (Outer induced, hops)",outer_induced,outer_stops,hops,50000,107.70262,48.33242,-55.12419289335765,0.017310552593877888,0.028005775352532396,61.78440983124374,0.91322,59.3702,51.0
"Robustness 1 (Full London, hops)",full_london,outer_stops,hops,50000,73.45672,45.61806,-37.89804390939318,0.01966449539095671,0.028547210422040607,45.171334704926494,0.89626,27.83866,25.0
"Robustness 2 (Outer induced, km)",outer_induced,outer_stops,km,50000,37.992147408964655,37.5884784424914,-1.0625063177608247,0.05091879713377864,0.05127197371226441,0.6936074659381117,0.68242,0.4036689664732579,0.20766561561673313
"Robustness 3 (Full London, km)",full_london,outer_stops,km,50000,25.940312288522385,25.804351510654126,-0.5241293025158259,0.057574651874648844,0.05788052290411131,0.5312598852154709,0.38036,0.13596077786826002,0.0
