k,phi_real,phi_null,rho
2,0.0005777079329451934,0.00044057999842152186,1.31124412141941
3,0.0012912162082849127,0.0007087016234109236,1.821946169772257
4,0.0031437272816583163,0.0010525872594838112,2.986666666666667
5,0.005951818611242324,0.0017005196032120926,3.5
